mean_1	cx	mut_pb	t_size	max_val
20	cxUniform	0.15	2	1.95381221377872
20	cxUniform	0.15	4	1.952990490302348
20	cxUniform	0.15	6	1.9540275700582028
20	cxUniform	0.175	2	1.950444487635574
20	cxUniform	0.175	4	1.9536272433830368
20	cxUniform	0.175	6	1.9543639406397308
20	cxUniform	0.2	2	1.9536973030660612
20	cxUniform	0.2	4	1.9542646902444976
20	cxUniform	0.2	6	1.954698097756277
20	cxUniform	0.25	2	1.954698097756277
20	cxUniform	0.25	4	1.953873882070572
20	cxUniform	0.25	6	1.953663404776304
20	cxUniform	0.3	2	1.953197155511466
20	cxUniform	0.3	4	1.954091403101868
20	cxUniform	0.3	6	1.9535691012367908
30	cxUniform	0.15	2	1.9531064411758818
30	cxUniform	0.15	4	1.9533861931335783
30	cxUniform	0.15	6	1.95381221377872
30	cxUniform	0.175	2	1.9527164850843888
30	cxUniform	0.175	4	1.9531064411758818
30	cxUniform	0.175	6	1.9547847922387769
30	cxUniform	0.2	2	1.9536272433830368
30	cxUniform	0.2	4	1.9519909019375528
30	cxUniform	0.2	6	1.9547260834482327
30	cxUniform	0.25	2	1.9526685832706636
30	cxUniform	0.25	4	1.9529232051995475
30	cxUniform	0.25	6	1.9542646902444976
30	cxUniform	0.3	2	1.9531064411758818
30	cxUniform	0.3	4	1.9538389640759608
30	cxUniform	0.3	6	1.953873882070572
40	cxUniform	0.15	2	1.951805505088867
40	cxUniform	0.15	4	1.9527910484586792
40	cxUniform	0.15	6	1.9517588642875607
40	cxUniform	0.175	2	1.9512834364012197
40	cxUniform	0.175	4	1.9519518599335433
40	cxUniform	0.175	6	1.9526346488774928
40	cxUniform	0.2	2	1.9516104388708448
40	cxUniform	0.2	4	1.9531114423694835
40	cxUniform	0.2	6	1.952573650282416
40	cxUniform	0.25	2	1.9528161746007373
40	cxUniform	0.25	4	1.953663404776304
40	cxUniform	0.25	6	1.9527117825326368
40	cxUniform	0.3	2	1.9531064411758818
40	cxUniform	0.3	4	1.9527910484586792
40	cxUniform	0.3	6	1.9532083127968605
50	cxUniform	0.15	2	1.9527787209290943
50	cxUniform	0.15	4	1.9527787209290943
50	cxUniform	0.15	6	1.9523937289837865
50	cxUniform	0.175	2	1.952680468298088
50	cxUniform	0.175	4	1.9526032521952408
50	cxUniform	0.175	6	1.9524463569560664
50	cxUniform	0.2	2	1.9526710629576924
50	cxUniform	0.2	4	1.9524773933817825
50	cxUniform	0.2	6	1.9524481757708252
50	cxUniform	0.25	2	1.9527787209290943
50	cxUniform	0.25	4	1.952623885760141
50	cxUniform	0.25	6	1.9527647644611068
50	cxUniform	0.3	2	1.9528161746007373
50	cxUniform	0.3	4	1.9524725777197052
50	cxUniform	0.3	6	1.9527787209290943
60	cxUniform	0.15	2	1.9524481757708252
60	cxUniform	0.15	4	1.951555597201244
60	cxUniform	0.15	6	1.95271772050294
60	cxUniform	0.175	2	1.952548794292852
60	cxUniform	0.175	4	1.9524481757708252
60	cxUniform	0.175	6	1.95271772050294
60	cxUniform	0.2	2	1.9524481757708252
60	cxUniform	0.2	4	1.9528559922638469
60	cxUniform	0.2	6	1.9525389138791
60	cxUniform	0.25	2	1.9520452361473504
60	cxUniform	0.25	4	1.952833802222541
60	cxUniform	0.25	6	1.953103280562551
60	cxUniform	0.3	2	1.9527787209290943
60	cxUniform	0.3	4	1.9520452361473504
60	cxUniform	0.3	6	1.9520600937113524
