mean_1	cx	mut_pb	t_size	avg_val	std_val
10	cxOnePoint	0.05	2	1.93290184847	0.00296367924218
10	cxOnePoint	0.05	4	1.93134866535	0.000743663048805
10	cxOnePoint	0.05	6	1.93108876035	0.00435160636797
10	cxOnePoint	0.05	8	1.92796183725	0.00577926053913
10	cxOnePoint	0.075	2	1.93504995007	0.00444412391314
10	cxOnePoint	0.075	4	1.93159286172	0.00213277387745
10	cxOnePoint	0.075	6	1.92991759772	0.00414502224297
10	cxOnePoint	0.075	8	1.933643103	0.00260541110703
10	cxOnePoint	0.1	2	1.93608936259	0.00641867843256
10	cxOnePoint	0.1	4	1.9368223581	0.0039401461258
10	cxOnePoint	0.1	6	1.93632886717	0.00308882086601
10	cxOnePoint	0.1	8	1.93400859244	0.00208732061178
10	cxOnePoint	0.125	2	1.93719400677	0.00210126024788
10	cxOnePoint	0.125	4	1.93422931958	0.00419227891568
10	cxOnePoint	0.125	6	1.93600914794	0.00681732499284
10	cxOnePoint	0.125	8	1.93340920956	0.00192429260937
10	cxOnePoint	0.15	2	1.93477426651	0.00320694211129
10	cxOnePoint	0.15	4	1.93426288365	0.0045974758264
10	cxOnePoint	0.15	6	1.93320151582	0.00361447629616
10	cxOnePoint	0.15	8	1.93212684213	0.00288652225988
10	cxOnePoint	0.175	2	1.93730659068	0.00169337926795
10	cxOnePoint	0.175	4	1.93580108205	0.00380213585682
10	cxOnePoint	0.175	6	1.93412652104	0.00348199351794
10	cxOnePoint	0.175	8	1.934303834	0.00491526871715
10	cxOnePoint	0.2	2	1.93940807954	0.00554232415219
10	cxOnePoint	0.2	4	1.9342242156	0.00380942391719
10	cxOnePoint	0.2	6	1.93596467324	0.00334629094471
10	cxOnePoint	0.2	8	1.93467377091	0.00209631438144
10	cxTwoPoint	0.05	2	1.93271215081	0.00365369926256
10	cxTwoPoint	0.05	4	1.93315872427	0.0042396784301
10	cxTwoPoint	0.05	6	1.92587696365	0.00530331110104
10	cxTwoPoint	0.05	8	1.93307183927	0.00328345569475
10	cxTwoPoint	0.075	2	1.93203726206	0.00699224672107
10	cxTwoPoint	0.075	4	1.93048276986	0.00588491253195
10	cxTwoPoint	0.075	6	1.9321959471	0.00580848161635
10	cxTwoPoint	0.075	8	1.93204751908	0.00132917064369
10	cxTwoPoint	0.1	2	1.93788325038	0.00599533900458
10	cxTwoPoint	0.1	4	1.93555635772	0.00541480203568
10	cxTwoPoint	0.1	6	1.93429971	0.00281115658162
10	cxTwoPoint	0.1	8	1.93533819979	0.00514594463336
10	cxTwoPoint	0.125	2	1.93641703579	0.00381123290863
10	cxTwoPoint	0.125	4	1.93291139627	0.00347800256955
10	cxTwoPoint	0.125	6	1.93189370512	0.00289070765911
10	cxTwoPoint	0.125	8	1.93619134136	0.00530165501141
10	cxTwoPoint	0.15	2	1.93908846963	0.00404668828064
10	cxTwoPoint	0.15	4	1.93533506848	0.00373179516366
10	cxTwoPoint	0.15	6	1.9353439076	0.00249808857879
10	cxTwoPoint	0.15	8	1.93509522852	0.00285479779535
10	cxTwoPoint	0.175	2	1.93708189182	0.00300377636786
10	cxTwoPoint	0.175	4	1.93954263838	0.00610156648387
10	cxTwoPoint	0.175	6	1.93684159711	0.00341762463451
10	cxTwoPoint	0.175	8	1.93379261125	0.0039646154008
10	cxTwoPoint	0.2	2	1.94099493061	0.00317645227263
10	cxTwoPoint	0.2	4	1.93755053994	0.00369634269633
10	cxTwoPoint	0.2	6	1.93760330744	0.0045167446701
10	cxTwoPoint	0.2	8	1.93414377992	0.0067987896499
10	cxUniform	0.05	2	1.94098172063	0.00278021578472
10	cxUniform	0.05	4	1.94132185743	0.00292841984761
10	cxUniform	0.05	6	1.93746986666	0.0051820405347
10	cxUniform	0.05	8	1.93721873334	0.00113184900633
10	cxUniform	0.075	2	1.94121849798	0.00403990443281
10	cxUniform	0.075	4	1.93681330856	0.00345076598806
10	cxUniform	0.075	6	1.93522070719	0.00240764444591
10	cxUniform	0.075	8	1.93690089402	0.00187710063566
10	cxUniform	0.1	2	1.94405645598	0.00571935796141
10	cxUniform	0.1	4	1.94041323894	0.00551403030843
10	cxUniform	0.1	6	1.93915350304	0.00675995119085
10	cxUniform	0.1	8	1.93597782846	0.0055804908036
10	cxUniform	0.125	2	1.94359971352	0.00536706618441
10	cxUniform	0.125	4	1.94321681723	0.00544940380561
10	cxUniform	0.125	6	1.94026281182	0.00462429499051
10	cxUniform	0.125	8	1.94158778518	0.00353688954532
10	cxUniform	0.15	2	1.94267617807	0.00403032893351
10	cxUniform	0.15	4	1.94053428267	0.00460559732707
10	cxUniform	0.15	6	1.93741182422	0.004247629197
10	cxUniform	0.15	8	1.93565466822	0.00183404106206
10	cxUniform	0.175	2	1.94289446082	0.00541408170235
10	cxUniform	0.175	4	1.94387334056	0.00477138860811
10	cxUniform	0.175	6	1.94104738891	0.00354627343822
10	cxUniform	0.175	8	1.94040931163	0.00540651132229
10	cxUniform	0.2	2	1.94933546588	0.0047099133276
10	cxUniform	0.2	4	1.9434777051	0.0064000672843
10	cxUniform	0.2	6	1.93677206025	0.00246346698175
10	cxUniform	0.2	8	1.93701066334	0.00393803596299
20	cxOnePoint	0.05	2	1.93229051855	0.00426504575909
20	cxOnePoint	0.05	4	1.93458575765	0.00434619512275
20	cxOnePoint	0.05	6	1.92956759554	0.00412583104063
20	cxOnePoint	0.05	8	1.93145802068	0.00929576525985
20	cxOnePoint	0.075	2	1.93935451399	0.00618926133386
20	cxOnePoint	0.075	4	1.93460894589	0.00519225361875
20	cxOnePoint	0.075	6	1.93735177157	0.0041331837919
20	cxOnePoint	0.075	8	1.93233738426	0.00322270981235
20	cxOnePoint	0.1	2	1.93569961968	0.00259208951072
20	cxOnePoint	0.1	4	1.93213029152	0.00345472116976
20	cxOnePoint	0.1	6	1.93725781376	0.00670953899845
