mean_1	cx	mut_pb	t_size	max_val
10	cxOnePoint	0.05	2	1.93593675541
10	cxOnePoint	0.05	4	1.93253127976
10	cxOnePoint	0.05	6	1.93515930079
10	cxOnePoint	0.05	8	1.93514781001
10	cxOnePoint	0.075	2	1.94335427
10	cxOnePoint	0.075	4	1.93516496953
10	cxOnePoint	0.075	6	1.93647077269
10	cxOnePoint	0.075	8	1.93753397757
10	cxOnePoint	0.1	2	1.94340351517
10	cxOnePoint	0.1	4	1.94345091258
10	cxOnePoint	0.1	6	1.93939324405
10	cxOnePoint	0.1	8	1.93672414968
10	cxOnePoint	0.125	2	1.94063937196
10	cxOnePoint	0.125	4	1.93952902344
10	cxOnePoint	0.125	6	1.9486068761
10	cxOnePoint	0.125	8	1.93694237783
10	cxOnePoint	0.15	2	1.93828505094
10	cxOnePoint	0.15	4	1.93872489543
10	cxOnePoint	0.15	6	1.93930660517
10	cxOnePoint	0.15	8	1.93455335141
10	cxOnePoint	0.175	2	1.9398061837
10	cxOnePoint	0.175	4	1.94221050378
10	cxOnePoint	0.175	6	1.93784491069
10	cxOnePoint	0.175	8	1.93895381132
10	cxOnePoint	0.2	2	1.94944699035
10	cxOnePoint	0.2	4	1.93917865394
10	cxOnePoint	0.2	6	1.94190712229
10	cxOnePoint	0.2	8	1.93758070383
10	cxTwoPoint	0.05	2	1.93726633342
10	cxTwoPoint	0.05	4	1.93877871597
10	cxTwoPoint	0.05	6	1.93174790684
10	cxTwoPoint	0.05	8	1.93874312065
10	cxTwoPoint	0.075	2	1.94184674088
10	cxTwoPoint	0.075	4	1.93920972144
10	cxTwoPoint	0.075	6	1.94007701607
10	cxTwoPoint	0.075	8	1.93374670175
10	cxTwoPoint	0.1	2	1.94903308137
10	cxTwoPoint	0.1	4	1.942213409
10	cxTwoPoint	0.1	6	1.9363922517
10	cxTwoPoint	0.1	8	1.94329780437
10	cxTwoPoint	0.125	2	1.9423511097
10	cxTwoPoint	0.125	4	1.93902937556
10	cxTwoPoint	0.125	6	1.9357980473
10	cxTwoPoint	0.125	8	1.94496766432
10	cxTwoPoint	0.15	2	1.94311657698
10	cxTwoPoint	0.15	4	1.93967062393
10	cxTwoPoint	0.15	6	1.93859762459
10	cxTwoPoint	0.15	8	1.93982945878
10	cxTwoPoint	0.175	2	1.94103198176
10	cxTwoPoint	0.175	4	1.94987921845
10	cxTwoPoint	0.175	6	1.94149904042
