mean_1	cx	mut_pb	t_size	k	avg_val	std_val
10	cxOnePoint	0.05	2	1	1.8248221266	0.0105751725218
10	cxOnePoint	0.05	2	3	1.86954653915	0.00333545518377
10	cxOnePoint	0.05	2	5	1.86501774652	0.00340298704676
10	cxOnePoint	0.05	2	7	1.87432957027	0.00698803847693
10	cxOnePoint	0.05	4	1	1.80504212248	0.0172252610658
10	cxOnePoint	0.05	4	3	1.85835809113	0.00512540081919
10	cxOnePoint	0.05	4	5	1.87200923793	0.00800665098057
10	cxOnePoint	0.05	4	7	1.87607897183	0.00621445246071
10	cxOnePoint	0.05	6	1	1.81527435934	0.0103717858363
10	cxOnePoint	0.05	6	3	1.85491470978	0.00974573046513
10	cxOnePoint	0.05	6	5	1.86525221402	0.00473982825517
10	cxOnePoint	0.05	6	7	1.86805156156	0.00903268478213
10	cxOnePoint	0.05	8	1	1.82362186399	0.00985963850607
10	cxOnePoint	0.05	8	3	1.8523942621	0.00532322066615
10	cxOnePoint	0.05	8	5	1.86359345628	0.00297543293159
10	cxOnePoint	0.05	8	7	1.86874673489	0.00899023989117
10	cxOnePoint	0.075	2	1	1.82519886833	0.0131544030861
10	cxOnePoint	0.075	2	3	1.86739733282	0.00879875106274
10	cxOnePoint	0.075	2	5	1.87144047352	0.00346706620497
10	cxOnePoint	0.075	2	7	1.87812064922	0.00665599899089
10	cxOnePoint	0.075	4	1	1.81124155872	0.0115229489928
10	cxOnePoint	0.075	4	3	1.86162680101	0.0077884685749
10	cxOnePoint	0.075	4	5	1.86643354928	0.00923499011874
10	cxOnePoint	0.075	4	7	1.86904500598	0.00369584984891
10	cxOnePoint	0.075	6	1	1.818198655	0.0173660339328
10	cxOnePoint	0.075	6	3	1.85966805852	0.00384105579392
10	cxOnePoint	0.075	6	5	1.87251174512	0.0115812805328
10	cxOnePoint	0.075	6	7	1.87618669758	0.00843968980185
10	cxOnePoint	0.075	8	1	1.81055737973	0.00488711985111
10	cxOnePoint	0.075	8	3	1.855898433	0.0155270500498
10	cxOnePoint	0.075	8	5	1.86662833337	0.0114941249902
10	cxOnePoint	0.075	8	7	1.8665929157	0.0140388292412
10	cxOnePoint	0.1	2	1	1.82427153996	0.0111347778943
10	cxOnePoint	0.1	2	3	1.86721546249	0.00750213434295
10	cxOnePoint	0.1	2	5	1.87011443213	0.00577617753137
10	cxOnePoint	0.1	2	7	1.87645525725	0.00613056817597
10	cxOnePoint	0.1	4	1	1.82109857658	0.0060620790633
10	cxOnePoint	0.1	4	3	1.86041991543	0.0103626007778
10	cxOnePoint	0.1	4	5	1.86607700892	0.00795640303272
10	cxOnePoint	0.1	4	7	1.87300614872	0.0104639926957
10	cxOnePoint	0.1	6	1	1.82154371607	0.00660254276772
10	cxOnePoint	0.1	6	3	1.86175982465	0.0106918042227
10	cxOnePoint	0.1	6	5	1.86872003166	0.00350342000242
10	cxOnePoint	0.1	6	7	1.86942770021	0.0059462365516
10	cxOnePoint	0.1	8	1	1.80941580049	0.017013266223
10	cxOnePoint	0.1	8	3	1.86211021338	0.00720857507966
10	cxOnePoint	0.1	8	5	1.8665866069	0.00625659083276
10	cxOnePoint	0.1	8	7	1.87011779661	0.00307024510242
10	cxOnePoint	0.125	2	1	1.83515748705	0.00781425437819
10	cxOnePoint	0.125	2	3	1.86781202514	0.00246130555438
10	cxOnePoint	0.125	2	5	1.86849271084	0.00194542882544
10	cxOnePoint	0.125	2	7	1.8763296102	0.00603125031155
10	cxOnePoint	0.125	4	1	1.82582876418	0.0035862727486
10	cxOnePoint	0.125	4	3	1.86390811102	0.00535464448002
10	cxOnePoint	0.125	4	5	1.86981265629	0.00692495485473
10	cxOnePoint	0.125	4	7	1.87294307324	0.00422049972676
10	cxOnePoint	0.125	6	1	1.8141900085	0.0104908255081
10	cxOnePoint	0.125	6	3	1.868880473	0.00678638415404
10	cxOnePoint	0.125	6	5	1.86691077039	0.0060228427241
10	cxOnePoint	0.125	6	7	1.86927239254	0.00483488361284
10	cxOnePoint	0.125	8	1	1.81308818837	0.00878964857321
10	cxOnePoint	0.125	8	3	1.85943221775	0.0104353134657
10	cxOnePoint	0.125	8	5	1.87030893533	0.00462779660299
10	cxOnePoint	0.125	8	7	1.87485026805	0.00395519451557
10	cxOnePoint	0.15	2	1	1.82934397617	0.00771437109353
10	cxOnePoint	0.15	2	3	1.87333869063	0.00846079576622
10	cxOnePoint	0.15	2	5	1.87920390696	0.00540080722332
10	cxOnePoint	0.15	2	7	1.87602103666	0.00761639619993
10	cxOnePoint	0.15	4	1	1.81889678652	0.00771886213376
10	cxOnePoint	0.15	4	3	1.85979691127	0.00671302663385
10	cxOnePoint	0.15	4	5	1.8765049815	0.00652100155515
10	cxOnePoint	0.15	4	7	1.87363290419	0.0104285640314
10	cxOnePoint	0.15	6	1	1.80921535117	0.0116264246994
10	cxOnePoint	0.15	6	3	1.85746408731	0.00845395129374
10	cxOnePoint	0.15	6	5	1.86941692343	0.00625467459424
10	cxOnePoint	0.15	6	7	1.87149812347	0.00213955053522
10	cxOnePoint	0.15	8	1	1.81954935121	0.0138044965322
10	cxOnePoint	0.15	8	3	1.86323602238	0.00505904476034
